Game,Total,Twitch_Year,Genre
7 Days to Die,149457827.025696,2016,Action
7 Days to Die,157815966.232176,2017,Action
7 Days to Die,104328705.778752,2018,Action
7 Days to Die,287697860.869755,2019,Action
7 Days to Die,403155253.93248,2020,Action
7 Days to Die,415203439.138446,2021,Action
Blast Corps,676803.0023999999,2016,Action
Bloodborne,147626056.20800102,2016,Action
Bloodborne,109469524.096863,2017,Action
Bloodborne,268102680.401955,2018,Action
Bloodborne,105771704.729187,2019,Action
Bloodborne,237156393.795594,2020,Action
Bloodborne,182341325.681109,2021,Action
Bully: Scholarship Edition,768599.306496,2016,Action
Bully: Scholarship Edition,3088872.685647,2018,Action
Condemned: Criminal Origins,517194.48942,2016,Action
Darksiders II,1240896.581925,2016,Action
Dead Rising,1543587.050817,2016,Action
Dead Rising 2,1300830.482385,2016,Action
Dead Space,2534340.0067650005,2016,Action
Dead Space,940631.314329,2017,Action
Dead Space 3,729255.708216,2016,Action
Dishonored,5924453.743319999,2016,Action
Dying Light,64850805.984006,2016,Action
Dying Light,10045556.310594,2017,Action
Dying Light,10876400.91531,2018,Action
Dying Light,4730608.331253001,2019,Action
Dying Light,9000012.093408,2020,Action
Dying Light,16417484.67429,2021,Action
Euro Truck Simulator 2,44836366.3188,2016,Action
Euro Truck Simulator 2,52287289.080285,2017,Action
Euro Truck Simulator 2,92568623.513289,2018,Action
Euro Truck Simulator 2,118549440.497985,2019,Action
Euro Truck Simulator 2,204901444.433973,2020,Action
Euro Truck Simulator 2,461616294.4571641,2021,Action
Far Cry: Primal,108365478.127956,2016,Action
Final Fantasy XIV: Heavensward,43930217.397024,2016,Action
Final Fantasy XIV: Heavensward,34021950.101706,2017,Action
Fire Emblem: Path of Radiance,1177635.3158850002,2016,Action
Grand Theft Auto III,992458.494972,2016,Action
Grand Theft Auto V,2471421888.729444,2016,Action
Grand Theft Auto V,33689390405.06214,2017,Action
Grand Theft Auto V,40377232716.9355,2018,Action
Grand Theft Auto V,725687086530.4437,2019,Action
Grand Theft Auto V,1325687666347.37,2020,Action
Grand Theft Auto V,6275375844604.229,2021,Action
Grand Theft Auto: San Andreas,5973453.246747,2016,Action
Grand Theft Auto: San Andreas,15606135.01272,2017,Action
Grand Theft Auto: San Andreas,36375180.013389,2018,Action
Grand Theft Auto: San Andreas,40564497.864765,2019,Action
Grand Theft Auto: San Andreas,161881867.981113,2020,Action
Grand Theft Auto: San Andreas,33437804.484231003,2021,Action
Guild Wars 2,26366311.606614,2016,Action
Guild Wars 2,57377922.105021,2017,Action
Guild Wars 2,54359873.999655,2018,Action
Guild Wars 2,48235471.070913,2019,Action
Guild Wars 2,198295935.62163,2020,Action
Guild Wars 2,183214736.120199,2021,Action
Hitman: Absolution,968114.537082,2016,Action
Hitman: Blood Money,186700.315284,2016,Action
Just Cause 3,988723.25979,2016,Action
LEGO The Lord of the Rings,433390.108032,2016,Action
Mafia,1260707.165865,2016,Action
Mafia,664688.287956,2017,Action
Mafia II,7702587.973541999,2016,Action
Mafia II,22920059.481543,2020,Action
Mega Man 2,921841.44528,2016,Action
Metal Gear Solid,451782.0589800001,2016,Action
Metal Gear Solid,1156056.440112,2018,Action
Metal Gear Solid 2: Sons of Liberty,1188925.017777,2016,Action
Metal Gear Solid 2: Sons of Liberty,5029214.584275,2017,Action
Metal Gear Solid 3: Snake Eater,620084.80884,2016,Action
Metal Gear Solid 3: Snake Eater,1905105.904611,2018,Action
Metal Gear Solid 4: Guns of the Patriots,407370.891438,2016,Action
Metal Gear Solid V: The Phantom Pain,8106901.467378,2016,Action
