Game,Total,Twitch_Year,Unnamed: 0,Year,Genre,Global_Sales
7 Days to Die,149457827.025696,2016,6770,2016.0,Action,0.16
7 Days to Die,157815966.232176,2017,6770,2016.0,Action,0.16
7 Days to Die,104328705.778752,2018,6770,2016.0,Action,0.16
7 Days to Die,287697860.869755,2019,6770,2016.0,Action,0.16
7 Days to Die,403155253.93248,2020,6770,2016.0,Action,0.16
7 Days to Die,415203439.138446,2021,6770,2016.0,Action,0.16
APB Reloaded,1746921.9072059998,2016,9520,2011.0,Role-Playing,0.04
Alien: Isolation,4662774.169136999,2016,1428,2014.0,Shooter,2.45
Alien: Isolation,5187696.622038,2017,1428,2014.0,Shooter,2.45
Alien: Isolation,1916759.017656,2018,1428,2014.0,Shooter,2.45
Alien: Isolation,7451191.893599999,2019,1428,2014.0,Shooter,2.45
Alien: Isolation,71964795.20897101,2020,1428,2014.0,Shooter,2.45
Alien: Isolation,40385367.739878,2021,1428,2014.0,Shooter,2.45
Animal Crossing: New Leaf,301575.932322,2016,64,2012.0,Simulation,9.09
Ape Escape,584559.984729,2016,926,1999.0,Platform,1.68
Ape Escape,1906516.8728970003,2017,926,1999.0,Platform,1.68
Banjo-Kazooie,1232740.215,2016,296,1998.0,Platform,3.66
Banjo-Kazooie,3627206.67078,2017,296,1998.0,Platform,3.66
Banjo-Kazooie,5016787.982535,2019,296,1998.0,Platform,3.66
Battleborn,36213760.43762399,2016,5005,2016.0,Shooter,0.42
Battlefield 4,102968434.555077,2016,291,2013.0,Shooter,14.03
Battlefield 4,1118788.999356,2017,291,2013.0,Shooter,14.03
Battlefield 4,3346297.750782,2018,291,2013.0,Shooter,14.03
Battlefield 4,156028575.670863,2021,291,2013.0,Shooter,14.03
Battlefield: Bad Company 2,343933.053282,2016,326,2010.0,Shooter,7.16
Beyond: Two Souls,1658888.406,2016,801,2013.0,Adventure,1.79
Beyond: Two Souls,993720.569247,2017,801,2013.0,Adventure,1.79
BioShock,758696.947932,2016,443,2007.0,Shooter,4.69
BioShock,3005299.491348,2018,443,2007.0,Shooter,4.69
Blast Corps,676803.0023999999,2016,2155,1997.0,Action,0.71
Bloodborne,147626056.20800102,2016,568,2015.0,Action,2.38
Bloodborne,109469524.096863,2017,568,2015.0,Action,2.38
Bloodborne,268102680.401955,2018,568,2015.0,Action,2.38
Bloodborne,105771704.729187,2019,568,2015.0,Action,2.38
Bloodborne,237156393.795594,2020,568,2015.0,Action,2.38
Bloodborne,182341325.681109,2021,568,2015.0,Action,2.38
Borderlands 2,10199087.263701,2016,390,2012.0,Shooter,7.109999999999999
Borderlands 2,105509079.93381,2017,390,2012.0,Shooter,7.109999999999999
Borderlands 2,61165070.955828,2018,390,2012.0,Shooter,7.109999999999999
Borderlands 2,292088974.501401,2019,390,2012.0,Shooter,7.109999999999999
Borderlands: The Handsome Collection,363357.957417,2016,1879,2015.0,Shooter,1.25
Bully: Scholarship Edition,768599.306496,2016,1507,2008.0,Action,1.62
Bully: Scholarship Edition,3088872.685647,2018,1507,2008.0,Action,1.62
Call of Duty 4: Modern Warfare,4996731.181743,2016,61,2007.0,Shooter,18.25
Call of Duty: Black Ops,3002281.237368,2016,30,2010.0,Shooter,31.03
Call of Duty: Black Ops,726809.2002990001,2017,30,2010.0,Shooter,31.03
Call of Duty: Black Ops II,15840120.744525002,2016,33,2012.0,Shooter,29.72
Call of Duty: Black Ops II,35391082.514067,2017,33,2012.0,Shooter,29.72
Call of Duty: Black Ops II,8252293.2754919985,2020,33,2012.0,Shooter,29.72
Call of Duty: Modern Warfare 2,3643109.610966,2016,34,2009.0,Shooter,25.09
Call of Duty: Modern Warfare 2,2757615.447447,2018,34,2009.0,Shooter,25.09
Call of Duty: Modern Warfare 2,7340869.380033,2020,34,2009.0,Shooter,25.09
Call of Duty: Modern Warfare 3,230400.74694000004,2016,28,2011.0,Shooter,30.83
Castlevania,643984.623828,2016,1289,1986.0,Platform,1.87
Castlevania: Symphony of the Night,961369.24884,2016,1233,1997.0,Platform,1.27
Chess,23530670.776851,2016,7408,2001.0,Strategy,0.09
Chess,28027865.343156,2017,7408,2001.0,Strategy,0.09
Chess,665434921.602948,2018,7408,2001.0,Strategy,0.09
Chess,836069619.845292,2019,7408,2001.0,Strategy,0.09
Chess,13010179729.157017,2020,7408,2001.0,Strategy,0.09
Chess,39425806856.31962,2021,7408,2001.0,Strategy,0.09
Cities: Skylines,11354639.978073,2016,6354,2015.0,Simulation,0.14
Cities: Skylines,21079408.944237,2017,6354,2015.0,Simulation,0.14
Cities: Skylines,28500322.031853,2018,6354,2015.0,Simulation,0.14
Cities: Skylines,11740939.094472,2019,6354,2015.0,Simulation,0.14
Cities: Skylines,13185632.402292,2020,6354,2015.0,Simulation,0.14
Company of Heroes 2,2677418.871561,2016,3690,2013.0,Strategy,0.36
Company of Heroes 2,384145.854456,2017,3690,2013.0,Strategy,0.36
Company of Heroes 2,2272142.353152,2018,3690,2013.0,Strategy,0.36
Condemned: Criminal Origins,517194.48942,2016,3312,2005.0,Action,0.42
Crash Bandicoot,3392951.9330280004,2016,105,1996.0,Platform,6.82
DC Universe Online,1843528.366302,2016,2798,2011.0,Role-Playing,0.76
Danganronpa 2: Goodbye Despair,1401552.005427,2016,4524,2014.0,Misc,0.45
Danganronpa 2: Goodbye Despair,4624542.694464,2019,4524,2014.0,Misc,0.45
Danganronpa 2: Goodbye Despair,9947915.210814,2020,4524,2014.0,Misc,0.45
Danganronpa: Trigger Happy Havoc,790387.983882,2016,3344,2013.0,Misc,0.6499999999999999
Danganronpa: Trigger Happy Havoc,2592450.448434,2019,3344,2013.0,Misc,0.6499999999999999
Danganronpa: Trigger Happy Havoc,17831092.789125,2020,3344,2013.0,Misc,0.6499999999999999
Dark Souls,258054688.828167,2016,681,2011.0,Role-Playing,3.14
Dark Souls,102561498.060063,2017,681,2011.0,Role-Playing,3.14
Dark Souls,1724145272.147634,2018,681,2011.0,Role-Playing,3.14
Dark Souls,400011717.49413,2019,681,2011.0,Role-Playing,3.14
Dark Souls,488118270.729138,2020,681,2011.0,Role-Playing,3.14
Dark Souls,522450554.115588,2021,681,2011.0,Role-Playing,3.14
Dark Souls II,9638756.70786,2016,1182,2014.0,Role-Playing,3.07
Dark Souls II,12724314.881292,2017,1182,2014.0,Role-Playing,3.07
Dark Souls II,28580991.990075,2018,1182,2014.0,Role-Playing,3.07
Dark Souls II,8688478.493625,2019,1182,2014.0,Role-Playing,3.07
Dark Souls II,27468993.021288,2020,1182,2014.0,Role-Playing,3.07
Dark Souls II,120748579.286412,2021,1182,2014.0,Role-Playing,3.07
Dark Souls III,9530658283.48158,2016,973,2016.0,Role-Playing,1.96
Dark Souls III,1005581460.785349,2017,973,2016.0,Role-Playing,1.96
Dark Souls III,601208897.110437,2018,973,2016.0,Role-Playing,1.96
Dark Souls III,555865481.881143,2019,973,2016.0,Role-Playing,1.96
Dark Souls III,1802014764.468576,2020,973,2016.0,Role-Playing,1.96
Dark Souls III,1719681508.552854,2021,973,2016.0,Role-Playing,1.96
Darksiders II,1240896.581925,2016,1839,2012.0,Action,2.26
Dead Rising,1543587.050817,2016,665,2006.0,Action,2.11
Dead Rising 2,1300830.482385,2016,1032,2010.0,Action,3.02
Dead Space,2534340.0067650005,2016,701,2008.0,Action,4.03
Dead Space,940631.314329,2017,701,2008.0,Action,4.03
Dead Space 2,1365268.753926,2016,1005,2011.0,Shooter,3.29
Dead Space 2,3147832.900338,2019,1005,2011.0,Shooter,3.29
Dead Space 2,2774897.9874,2020,1005,2011.0,Shooter,3.29
Dead Space 3,729255.708216,2016,1623,2013.0,Action,2.19
Demon's Souls,3602015.731335,2016,779,2009.0,Role-Playing,1.84
Demon's Souls,626782.59483,2017,779,2009.0,Role-Playing,1.84
Demon's Souls,2411751.613719,2018,779,2009.0,Role-Playing,1.84
Demon's Souls,11987800275.439842,2020,779,2009.0,Role-Playing,1.84
Demon's Souls,133543793.139792,2021,779,2009.0,Role-Playing,1.84
Destiny,11329174691.248323,2016,140,2014.0,Shooter,12.61
Destiny,5668534712.308419,2017,140,2014.0,Shooter,12.61
Deus Ex,3066571.308822,2016,11182,2000.0,Role-Playing,0.01
Deus Ex: Mankind Divided,132872301.49477202,2016,3865,2016.0,Role-Playing,0.5
DiRT Rally,276099.553548,2016,3951,2016.0,Racing,0.46
Diablo,1537459.780752,2016,950,1996.0,Role-Playing,2.17
Diablo,1394935.093125,2018,950,1996.0,Role-Playing,2.17
Diablo II: Lord of Destruction,47692931.922111005,2016,1534,2001.0,Role-Playing,1.06
Diablo II: Lord of Destruction,45001642.803012,2017,1534,2001.0,Role-Playing,1.06
Diablo II: Lord of Destruction,59886717.050307,2018,1534,2001.0,Role-Playing,1.06
Diablo II: Lord of Destruction,117059229.434637,2019,1534,2001.0,Role-Playing,1.06
