,Name,Year,Genre,Global_Sales
0,Wii Sports,2006.0,Sports,82.74
1,Super Mario Bros.,1985.0,Platform,45.31
2,Mario Kart Wii,2008.0,Racing,35.82
3,Wii Sports Resort,2009.0,Sports,33.0
4,Pokemon Red/Pokemon Blue,1996.0,Role-Playing,31.37
5,Tetris,1989.0,Puzzle,35.84
6,New Super Mario Bros.,2006.0,Platform,30.01
7,Wii Play,2006.0,Misc,29.02
8,New Super Mario Bros. Wii,2009.0,Platform,28.62
9,Duck Hunt,1984.0,Shooter,28.31
10,Nintendogs,2005.0,Simulation,24.76
11,Mario Kart DS,2005.0,Racing,23.42
12,Pokemon Gold/Pokemon Silver,1999.0,Role-Playing,23.1
13,Wii Fit,2007.0,Sports,22.72
14,Wii Fit Plus,2009.0,Sports,22.0
15,Kinect Adventures!,2010.0,Misc,21.82
16,Grand Theft Auto V,2013.0,Action,55.92
17,Grand Theft Auto: San Andreas,2004.0,Action,23.86
18,Super Mario World,1990.0,Platform,26.07
19,Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,20.22
20,Pokemon Diamond/Pokemon Pearl,2006.0,Role-Playing,18.36
21,Super Mario Land,1989.0,Platform,18.14
22,Super Mario Bros. 3,1988.0,Platform,22.48
23,Grand Theft Auto: Vice City,2002.0,Action,16.189999999999998
24,Pokemon Ruby/Pokemon Sapphire,2002.0,Role-Playing,15.85
25,Pokemon Black/Pokemon White,2010.0,Role-Playing,15.32
26,Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,15.3
27,Gran Turismo 3: A-Spec,2001.0,Racing,14.98
28,Call of Duty: Modern Warfare 3,2011.0,Shooter,30.830000000000002
29,Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing,14.64
30,Call of Duty: Black Ops,2010.0,Shooter,31.03
31,Pokemon X/Pokemon Y,2013.0,Role-Playing,14.35
32,Call of Duty: Black Ops 3,2015.0,Shooter,25.32
33,Call of Duty: Black Ops II,2012.0,Shooter,29.72
34,Call of Duty: Modern Warfare 2,2009.0,Shooter,25.09
35,Grand Theft Auto III,2001.0,Action,13.11
36,Super Smash Bros. Brawl,2008.0,Fighting,13.04
