Name,Year,Genre
Wii Sports,2006.0,Sports
Super Mario Bros.,1985.0,Platform
Mario Kart Wii,2008.0,Racing
Wii Sports Resort,2009.0,Sports
Pokemon Red/Pokemon Blue,1996.0,Role-Playing
Tetris,1989.0,Puzzle
New Super Mario Bros.,2006.0,Platform
Wii Play,2006.0,Misc
New Super Mario Bros. Wii,2009.0,Platform
Duck Hunt,1984.0,Shooter
Nintendogs,2005.0,Simulation
Mario Kart DS,2005.0,Racing
Pokemon Gold/Pokemon Silver,1999.0,Role-Playing
Wii Fit,2007.0,Sports
Wii Fit Plus,2009.0,Sports
Kinect Adventures!,2010.0,Misc
Grand Theft Auto V,2013.0,Action
Grand Theft Auto: San Andreas,2004.0,Action
Super Mario World,1990.0,Platform
Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc
Pokemon Diamond/Pokemon Pearl,2006.0,Role-Playing
Super Mario Land,1989.0,Platform
Super Mario Bros. 3,1988.0,Platform
Grand Theft Auto: Vice City,2002.0,Action
Pokemon Ruby/Pokemon Sapphire,2002.0,Role-Playing
Pokemon Black/Pokemon White,2010.0,Role-Playing
Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle
Gran Turismo 3: A-Spec,2001.0,Racing
Call of Duty: Modern Warfare 3,2011.0,Shooter
Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing
Call of Duty: Black Ops,2010.0,Shooter
Pokemon X/Pokemon Y,2013.0,Role-Playing
Call of Duty: Black Ops 3,2015.0,Shooter
Call of Duty: Black Ops II,2012.0,Shooter
Call of Duty: Modern Warfare 2,2009.0,Shooter
Grand Theft Auto III,2001.0,Action
Super Smash Bros. Brawl,2008.0,Fighting
Animal Crossing: Wild World,2005.0,Simulation
Mario Kart 7,2011.0,Racing
Halo 3,2007.0,Shooter
Pokemon HeartGold/Pokemon SoulSilver,2009.0,Action
Super Mario 64,1996.0,Platform
Gran Turismo 4,2004.0,Racing
Super Mario Galaxy,2007.0,Platform
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Role-Playing
Super Mario Land 2: 6 Golden Coins,1992.0,Adventure
Grand Theft Auto IV,2008.0,Action
Gran Turismo,1997.0,Racing
Super Mario 3D Land,2011.0,Platform
Gran Turismo 5,2010.0,Racing
Super Mario All-Stars,1993.0,Platform
Pokemon FireRed/Pokemon LeafGreen,2004.0,Role-Playing
Just Dance 3,2011.0,Misc
Call of Duty: Ghosts,2013.0,Shooter
Halo: Reach,2010.0,Shooter
Mario Kart 64,1996.0,Racing
New Super Mario Bros. 2,2012.0,Platform
Halo 4,2012.0,Shooter
Final Fantasy VII,1997.0,Role-Playing
Just Dance 2,2010.0,Misc
Gran Turismo 2,1999.0,Racing
Call of Duty 4: Modern Warfare,2007.0,Shooter
Donkey Kong Country,1994.0,Platform
Minecraft,2013.0,Misc
Animal Crossing: New Leaf,2012.0,Simulation
Mario Party DS,2007.0,Misc
The Elder Scrolls V: Skyrim,2011.0,Role-Playing
Super Mario Kart,1992.0,Racing
FIFA 16,2015.0,Sports
Wii Party,2010.0,Misc
Halo 2,2004.0,Shooter
Mario Party 8,2007.0,Misc
Pokemon Black 2/Pokemon White 2,2012.0,Role-Playing
FIFA Soccer 13,2012.0,Action
The Sims 3,2009.0,Simulation
GoldenEye 007,1997.0,Shooter
Mario & Sonic at the Olympic Games,2007.0,Sports
Final Fantasy X,2001.0,Role-Playing
Final Fantasy VIII,1999.0,Role-Playing
Pokémon Platinum Version,2008.0,Role-Playing
Pac-Man,1982.0,Puzzle
Grand Theft Auto: Liberty City Stories,2005.0,Action
Super Mario Galaxy 2,2010.0,Platform
Star Wars Battlefront (2015),2015.0,Shooter
Call of Duty: Advanced Warfare,2014.0,Shooter
The Legend of Zelda: Ocarina of Time,1998.0,Action
