,Unnamed: 0,Rank,Game,Year,Hours_watched,Avg_viewers,Total
0,0,1,League of Legends,2016,94377226,127021,189061007256.09818
1,1,2,Counter-Strike: Global Offensive,2016,47832863,64378,48564965919.009
2,2,3,Dota 2,2016,45185893,60815,43338393885.75994
3,3,4,Hearthstone,2016,39936159,53749,33852902709.745163
4,4,5,Call of Duty: Black Ops III,2016,16153057,21740,5538261998.727778
5,5,6,Minecraft,2016,10231056,13769,2221683008.119344
6,6,7,World of Warcraft,2016,8771452,11805,1633039592.8530598
7,7,8,Z1: Battle Royale,2016,7894571,10625,1322868591.935625
8,8,9,Talk Shows & Podcasts,2016,7688369,10347,1254607558.812153
9,9,10,FIFA 16,2016,6988475,9405,1036574324.9111252
10,10,11,StarCraft II,2016,6567126,8838,915352933.962348
11,11,12,Diablo III,2016,6235668,8392,825292106.474976
12,12,13,Destiny,2016,5892573,7930,736948926.44919
13,13,14,Blade & Soul,2016,5270251,7093,589549792.599453
14,14,15,World of Tanks,2016,4993627,6720,529230182.32224
15,15,16,Tom Clancy's Rainbow Six Siege,2016,4866039,6549,502585329.70088106
16,16,17,RuneScape,2016,4632857,6235,455558951.6025451
17,17,18,Tom Clancy's The Division,2016,4495935,6051,429048520.24513495
18,18,19,Grand Theft Auto V,2016,4014296,5402,341997714.89083207
19,19,20,SMITE,2016,3788701,5099,304673426.098629
20,20,21,Creative,2016,3181207,4281,214781261.570757
21,21,22,Poker,2016,3151063,4241,210758253.20409295
22,22,23,Super Mario Maker,2016,3057789,4115,198443366.162685
23,23,24,Heroes of the Storm,2016,3024529,4070,194138376.71613005
24,24,25,Darkest Dungeon,2016,2664560,3586,150693673.87535998
25,25,26,Arma 3,2016,2542838,3422,137232801.69135603
26,26,27,DayZ,2016,2321012,3123,114316416.42699602
27,27,28,NBA 2K16,2016,2275441,3062,109882870.793682
28,28,29,Magic: The Gathering,2016,2187509,2944,101565657.86841598
29,29,30,Ark: Survival Evolved,2016,1951875,2627,80866995.18187499
30,30,31,Halo 5: Guardians,2016,1846844,2485,72379543.15913999
31,31,32,Super Smash Bros. Melee,2016,1790598,2409,68029006.228722
32,32,33,Music,2016,1719354,2314,62746266.495276
33,33,34,Super Smash Bros. for Wii U,2016,1718837,2313,62700291.270351
34,34,35,Path of Exile,2016,1701987,2290,61468264.67733
35,35,36,Fallout 4,2016,1681938,2263,60027985.42007399
36,36,37,Rocket League,2016,1566964,2108,52094138.126352
37,37,38,Dragon's Dogma: Dark Arisen,2016,1511191,2033,48452475.299613
38,38,39,The Legend of Zelda: Ocarina of Time,2016,1508712,2030,48301610.81255999
39,39,40,Punch Club,2016,1410837,1898,42231089.000646
40,40,41,The Binding of Isaac: Repentance,2016,1358589,1828,39167289.413532
41,41,42,Rust,2016,1346240,1811,38450338.93344001
42,42,43,Bloodborne,2016,1300353,1750,35888767.53525
43,43,44,The Elder Scrolls V: Skyrim,2016,1192580,1605,30187127.5839
44,44,45,Madden NFL 16,2016,1179288,1587,29515900.513176
45,45,46,Dark Souls,2016,1176135,1582,29344241.28447
46,46,47,XCOM: Enemy Within,2016,1151692,1550,28153168.5246
47,47,48,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,2016,1143257,1538,27730610.854086
48,48,49,Euro Truck Simulator 2,2016,1109797,1493,26131394.471091
49,49,50,The Legend of Zelda: Majora's Mask,2016,1011289,1361,21706641.832659
50,50,51,Pok<U+00E9>mon Omega Ruby/Alpha Sapphire,2016,992216,1335,20890398.44556
51,51,52,Duelyst,2016,870056,1171,16068055.869096002
52,52,53,Garry's Mod,2016,847981,1141,15259173.028491
53,53,54,Super Mario 64,2016,828873,1115,14575454.032545
54,54,55,osu!,2016,778404,1047,12853191.329748
55,55,56,Star Wars Battlefront,2016,743255,1000,11721874.605
56,56,57,Mortal Kombat X,2016,731382,984,11350071.513648
57,57,58,Dark Souls II: Scholar of the First Sin,2016,723453,973,11101518.676899
58,58,59,Kingdom Hearts HD 1.5 ReMIX,2016,708888,954,10665598.506192
59,59,60,The Witness,2016,700557,942,10407672.349074
60,60,61,Battlefield 4,2016,672524,905,9598770.28362
61,61,62,Warcraft III,2016,665832,896,9408749.478912
62,62,63,Diablo II: Lord of Destruction,2016,654061,880,9077372.50728
63,63,64,Mario Kart 8,2016,602344,810,7694649.45144
64,64,65,Warframe,2016,593909,799,7483864.532361
65,65,66,Super Metroid,2016,576156,775,7042081.1139
66,66,67,Undertale,2016,572012,769,6937303.7627880005
67,67,68,Rise of the Tomb Raider,2016,567366,763,6827269.968918
