,Game,Total,Twitch_Year,Genre
0,7 Days to Die,149457827.025696,2016,Action
1,7 Days to Die,157815966.232176,2017,Action
2,7 Days to Die,104328705.778752,2018,Action
3,7 Days to Die,287697860.869755,2019,Action
4,7 Days to Die,403155253.93248,2020,Action
5,7 Days to Die,415203439.138446,2021,Action
6,APB Reloaded,1746921.9072059998,2016,Role-Playing
7,Alien: Isolation,4662774.169136999,2016,Shooter
8,Alien: Isolation,5187696.622038,2017,Shooter
9,Alien: Isolation,1916759.017656,2018,Shooter
10,Alien: Isolation,7451191.893599999,2019,Shooter
11,Alien: Isolation,71964795.20897101,2020,Shooter
12,Alien: Isolation,40385367.739878,2021,Shooter
13,Animal Crossing: New Leaf,301575.932322,2016,Simulation
14,Ape Escape,584559.984729,2016,Platform
15,Ape Escape,1906516.8728970003,2017,Platform
16,Banjo-Kazooie,1232740.215,2016,Platform
17,Banjo-Kazooie,3627206.67078,2017,Platform
18,Banjo-Kazooie,5016787.982535,2019,Platform
19,Battleborn,36213760.43762399,2016,Shooter
20,Battlefield 4,102968434.555077,2016,Shooter
21,Battlefield 4,1118788.999356,2017,Shooter
22,Battlefield 4,3346297.750782,2018,Shooter
23,Battlefield 4,156028575.670863,2021,Shooter
24,Battlefield: Bad Company 2,343933.053282,2016,Shooter
25,Beyond: Two Souls,1658888.406,2016,Adventure
26,Beyond: Two Souls,993720.569247,2017,Adventure
27,BioShock,758696.947932,2016,Shooter
28,BioShock,3005299.491348,2018,Shooter
29,Blast Corps,676803.0023999999,2016,Action
30,Bloodborne,147626056.20800102,2016,Action
31,Bloodborne,109469524.096863,2017,Action
32,Bloodborne,268102680.401955,2018,Action
33,Bloodborne,105771704.729187,2019,Action
34,Bloodborne,237156393.795594,2020,Action
35,Bloodborne,182341325.681109,2021,Action
36,Borderlands 2,10199087.263701,2016,Shooter
37,Borderlands 2,105509079.93381,2017,Shooter
38,Borderlands 2,61165070.955828,2018,Shooter
39,Borderlands 2,292088974.501401,2019,Shooter
40,Borderlands: The Handsome Collection,363357.957417,2016,Shooter
41,Bully: Scholarship Edition,768599.306496,2016,Action
42,Bully: Scholarship Edition,3088872.685647,2018,Action
43,Call of Duty 4: Modern Warfare,4996731.181743,2016,Shooter
44,Call of Duty: Black Ops,3002281.237368,2016,Shooter
45,Call of Duty: Black Ops,726809.2002990001,2017,Shooter
46,Call of Duty: Black Ops II,15840120.744525002,2016,Shooter
47,Call of Duty: Black Ops II,35391082.514067,2017,Shooter
48,Call of Duty: Black Ops II,8252293.2754919985,2020,Shooter
49,Call of Duty: Modern Warfare 2,3643109.610966,2016,Shooter
50,Call of Duty: Modern Warfare 2,2757615.447447,2018,Shooter
51,Call of Duty: Modern Warfare 2,7340869.380033,2020,Shooter
52,Call of Duty: Modern Warfare 3,230400.74694000004,2016,Shooter
53,Castlevania,643984.623828,2016,Platform
54,Castlevania: Symphony of the Night,961369.24884,2016,Platform
55,Chess,23530670.776851,2016,Strategy
56,Chess,28027865.343156,2017,Strategy
57,Chess,665434921.602948,2018,Strategy
58,Chess,836069619.845292,2019,Strategy
59,Chess,13010179729.157017,2020,Strategy
60,Chess,39425806856.31962,2021,Strategy
61,Cities: Skylines,11354639.978073,2016,Simulation
62,Cities: Skylines,21079408.944237,2017,Simulation
63,Cities: Skylines,28500322.031853,2018,Simulation
64,Cities: Skylines,11740939.094472,2019,Simulation
65,Cities: Skylines,13185632.402292,2020,Simulation
66,Company of Heroes 2,2677418.871561,2016,Strategy
67,Company of Heroes 2,384145.854456,2017,Strategy
68,Company of Heroes 2,2272142.353152,2018,Strategy
69,Condemned: Criminal Origins,517194.48942,2016,Action
70,Crash Bandicoot,3392951.9330280004,2016,Platform
71,DC Universe Online,1843528.366302,2016,Role-Playing
72,Danganronpa 2: Goodbye Despair,1401552.005427,2016,Misc
73,Danganronpa 2: Goodbye Despair,4624542.694464,2019,Misc
74,Danganronpa 2: Goodbye Despair,9947915.210814,2020,Misc
75,Danganronpa: Trigger Happy Havoc,790387.983882,2016,Misc
76,Danganronpa: Trigger Happy Havoc,2592450.448434,2019,Misc
77,Danganronpa: Trigger Happy Havoc,17831092.789125,2020,Misc
78,Dark Souls,258054688.828167,2016,Role-Playing
79,Dark Souls,102561498.060063,2017,Role-Playing
80,Dark Souls,1724145272.147634,2018,Role-Playing
81,Dark Souls,400011717.49413,2019,Role-Playing
82,Dark Souls,488118270.729138,2020,Role-Playing
83,Dark Souls,522450554.115588,2021,Role-Playing
84,Dark Souls II,9638756.70786,2016,Role-Playing
85,Dark Souls II,12724314.881292,2017,Role-Playing
86,Dark Souls II,28580991.990075,2018,Role-Playing
87,Dark Souls II,8688478.493625,2019,Role-Playing
88,Dark Souls II,27468993.021288,2020,Role-Playing
89,Dark Souls II,120748579.286412,2021,Role-Playing
90,Dark Souls III,9530658283.48158,2016,Role-Playing
91,Dark Souls III,1005581460.785349,2017,Role-Playing
92,Dark Souls III,601208897.110437,2018,Role-Playing
93,Dark Souls III,555865481.881143,2019,Role-Playing
94,Dark Souls III,1802014764.468576,2020,Role-Playing
95,Dark Souls III,1719681508.552854,2021,Role-Playing
96,Darksiders II,1240896.581925,2016,Action
97,Dead Rising,1543587.050817,2016,Action
98,Dead Rising 2,1300830.482385,2016,Action
99,Dead Space,2534340.0067650005,2016,Action
100,Dead Space,940631.314329,2017,Action
101,Dead Space 2,1365268.753926,2016,Shooter
102,Dead Space 2,3147832.900338,2019,Shooter
103,Dead Space 2,2774897.9874,2020,Shooter
104,Dead Space 3,729255.708216,2016,Action
105,Demon's Souls,3602015.731335,2016,Role-Playing
106,Demon's Souls,626782.59483,2017,Role-Playing
107,Demon's Souls,2411751.613719,2018,Role-Playing
108,Demon's Souls,11987800275.439842,2020,Role-Playing
109,Demon's Souls,133543793.139792,2021,Role-Playing
110,Destiny,11329174691.248323,2016,Shooter
111,Destiny,5668534712.308419,2017,Shooter
112,Deus Ex,3066571.308822,2016,Role-Playing
113,Deus Ex: Mankind Divided,132872301.49477202,2016,Role-Playing
114,DiRT Rally,276099.553548,2016,Racing
115,Diablo,1537459.780752,2016,Role-Playing
116,Diablo,1394935.093125,2018,Role-Playing
117,Diablo II: Lord of Destruction,47692931.922111005,2016,Role-Playing
118,Diablo II: Lord of Destruction,45001642.803012,2017,Role-Playing
119,Diablo II: Lord of Destruction,59886717.050307,2018,Role-Playing
120,Diablo II: Lord of Destruction,117059229.434637,2019,Role-Playing
121,Diablo II: Lord of Destruction,185378443.606545,2020,Role-Playing
122,Diablo III,1365120607.93353,2016,Role-Playing
123,Diablo III,720855107.452998,2017,Role-Playing
124,Diablo III,593091960.9184921,2018,Role-Playing
125,Diablo III,848910668.1831931,2019,Role-Playing
126,Diablo III,461169086.508627,2020,Role-Playing
127,Diablo III,728524022.5278751,2021,Role-Playing
128,Dishonored,5924453.743319999,2016,Action
129,Divinity: Original Sin,2322231.790389,2016,Role-Playing
