Name,Year,Genre,Global_Sales,Total
Wii Sports,2006.0,Sports,82.74,4964.4
Super Mario Bros.,1985.0,Platform,45.31,2718.6000000000004
Mario Kart Wii,2008.0,Racing,35.82,2149.2
Wii Sports Resort,2009.0,Sports,33.0,1980.0
Pokemon Red/Pokemon Blue,1996.0,Role-Playing,31.37,1882.2
Tetris,1989.0,Puzzle,35.84,2150.4
New Super Mario Bros.,2006.0,Platform,30.01,1800.6000000000001
Wii Play,2006.0,Misc,29.02,1741.2
New Super Mario Bros. Wii,2009.0,Platform,28.62,1717.2
Duck Hunt,1984.0,Shooter,28.31,1698.6
Nintendogs,2005.0,Simulation,24.76,1485.6000000000001
Mario Kart DS,2005.0,Racing,23.42,1405.2
Pokemon Gold/Pokemon Silver,1999.0,Role-Playing,23.1,1386.0
Wii Fit,2007.0,Sports,22.72,1363.1999999999998
Wii Fit Plus,2009.0,Sports,22.0,1320.0
Kinect Adventures!,2010.0,Misc,21.82,1309.2
Grand Theft Auto V,2013.0,Action,55.92,3355.2000000000003
Grand Theft Auto: San Andreas,2004.0,Action,23.86,1431.6
Super Mario World,1990.0,Platform,26.07,1564.2
Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,20.22,1213.1999999999998
Pokemon Diamond/Pokemon Pearl,2006.0,Role-Playing,18.36,1101.6
Super Mario Land,1989.0,Platform,18.14,1088.4
Super Mario Bros. 3,1988.0,Platform,22.48,1348.8
Grand Theft Auto: Vice City,2002.0,Action,16.189999999999998,971.3999999999999
Pokemon Ruby/Pokemon Sapphire,2002.0,Role-Playing,15.85,951.0
Pokemon Black/Pokemon White,2010.0,Role-Playing,15.32,919.2
Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,15.3,918.0
Gran Turismo 3: A-Spec,2001.0,Racing,14.98,898.8000000000001
Call of Duty: Modern Warfare 3,2011.0,Shooter,30.830000000000002,1849.8000000000002
Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing,14.64,878.4000000000001
Call of Duty: Black Ops,2010.0,Shooter,31.03,1861.8000000000002
Pokemon X/Pokemon Y,2013.0,Role-Playing,14.35,861.0
Call of Duty: Black Ops 3,2015.0,Shooter,25.32,1519.2
Call of Duty: Black Ops II,2012.0,Shooter,29.72,1783.1999999999998
Call of Duty: Modern Warfare 2,2009.0,Shooter,25.09,1505.4
Grand Theft Auto III,2001.0,Action,13.11,786.5999999999999
Super Smash Bros. Brawl,2008.0,Fighting,13.04,782.4
Animal Crossing: Wild World,2005.0,Simulation,12.27,736.1999999999999
Mario Kart 7,2011.0,Racing,12.21,732.6
Halo 3,2007.0,Shooter,12.14,728.4000000000001
Pokemon HeartGold/Pokemon SoulSilver,2009.0,Action,11.9,714.0
Super Mario 64,1996.0,Platform,22.310000000000002,1338.6000000000001
Gran Turismo 4,2004.0,Racing,11.66,699.6
Super Mario Galaxy,2007.0,Platform,11.52,691.1999999999999
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Role-Playing,11.33,679.8
Super Mario Land 2: 6 Golden Coins,1992.0,Adventure,11.18,670.8
Grand Theft Auto IV,2008.0,Action,22.47,1348.1999999999998
Gran Turismo,1997.0,Racing,10.95,657.0
Super Mario 3D Land,2011.0,Platform,10.79,647.4
Gran Turismo 5,2010.0,Racing,10.77,646.1999999999999
Super Mario All-Stars,1993.0,Platform,10.55,633.0
Pokemon FireRed/Pokemon LeafGreen,2004.0,Role-Playing,10.49,629.4
Just Dance 3,2011.0,Misc,12.92,775.2
Call of Duty: Ghosts,2013.0,Shooter,27.38,1642.8
Halo: Reach,2010.0,Shooter,9.88,592.8000000000001
Mario Kart 64,1996.0,Racing,9.87,592.1999999999999
New Super Mario Bros. 2,2012.0,Platform,9.82,589.2
Halo 4,2012.0,Shooter,9.76,585.6
Final Fantasy VII,1997.0,Role-Playing,9.72,583.2
Just Dance 2,2010.0,Misc,9.52,571.1999999999999
Gran Turismo 2,1999.0,Racing,9.49,569.4
Call of Duty 4: Modern Warfare,2007.0,Shooter,18.25,1095.0
Donkey Kong Country,1994.0,Platform,13.530000000000001,811.8000000000001
Minecraft,2013.0,Misc,23.73,1423.8
Animal Crossing: New Leaf,2012.0,Simulation,9.09,545.4
Mario Party DS,2007.0,Misc,9.02,541.1999999999999
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,19.28,1156.8000000000002
Super Mario Kart,1992.0,Racing,8.76,525.6
FIFA 16,2015.0,Sports,16.44,986.4000000000001
Wii Party,2010.0,Misc,8.49,509.40000000000003
Halo 2,2004.0,Shooter,8.59,515.4
Mario Party 8,2007.0,Misc,8.42,505.2
Pokemon Black 2/Pokemon White 2,2012.0,Role-Playing,8.33,499.8
FIFA Soccer 13,2012.0,Action,16.16,969.6
The Sims 3,2009.0,Simulation,15.45,927.0
GoldenEye 007,1997.0,Shooter,8.09,485.4
Mario & Sonic at the Olympic Games,2007.0,Sports,13.2,792.0
Final Fantasy X,2001.0,Role-Playing,8.05,483.00000000000006
Final Fantasy VIII,1999.0,Role-Playing,7.86,471.6
Pokémon Platinum Version,2008.0,Role-Playing,7.84,470.4
Pac-Man,1982.0,Puzzle,9.03,541.8
Grand Theft Auto: Liberty City Stories,2005.0,Action,11.26,675.6
Super Mario Galaxy 2,2010.0,Platform,7.69,461.40000000000003
Star Wars Battlefront (2015),2015.0,Shooter,11.7,702.0
Call of Duty: Advanced Warfare,2014.0,Shooter,21.9,1314.0
The Legend of Zelda: Ocarina of Time,1998.0,Action,11.809999999999999,708.5999999999999
Crash Bandicoot 2: Cortex Strikes Back,1997.0,Platform,7.58,454.8
Super Mario Bros. 2,1988.0,Platform,7.46,447.6
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,12.469999999999999,748.1999999999999
Call of Duty: World at War,2008.0,Shooter,15.87,952.1999999999999
Battlefield 3,2011.0,Shooter,17.36,1041.6
The Legend of Zelda: Twilight Princess,2006.0,Action,8.9,534.0
Just Dance,2009.0,Misc,7.27,436.2
Need for Speed Underground,2003.0,Racing,10.46,627.6
Tekken 3,1998.0,Fighting,7.16,429.6
Crash Bandicoot 3: Warped,1998.0,Platform,7.13,427.8
Super Smash Bros. Melee,2001.0,Fighting,7.07,424.20000000000005
Mario Kart 8,2014.0,Racing,6.96,417.6
Fallout 4,2015.0,Role-Playing,12.28,736.8
